id,eng__001,eng__002,eng__003,eng__004,eng__005,eng__006,eng__007,eng__008,Sesotho__-,Setswana__-,Syonym__-,Tshivenda__-,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,nde__001,nde__002,nde__003,nde__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,nso__007,nso__008,sot__-,sot__001,sot__002,sot__003,sot__004,sot__005,sot__006,sot__007,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,ven__007,ven__008,ven__009,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,xho__007,xho__008,zul__001,zul__002,zul__003,zul__004,zul__005
dsac_lif_00001,abduct,,,,,,,,,,,,ontvoer,,,,,,-eba umuntu,-thumba,,,-thopa,,,,,,,,,-kwetela,,,,,,,tfumba,,,,,thopa,,,,,,tlhakisa,,,,,,,u dzhia nga khani,,,,,,,,,uqweqwedisa umntu,ukuxhwila umntu,ukuthwalwa,,,,,,ukuthumba,,,,
dsac_lif_00002,abolish <v.> {e.g. laws},,,,,,,,,,,,afskaf,ophef,,,,,-phelisa,-qeda,,,-fediša,,,,,,,,,-fedisa,,,,,,,phelisa,cedza,,,,fedisa,,,,,,herisa,,,,,,,fhelisa,fhedza,,,,,,,,tshitshisa,bhangisa,phelisa,,,,,,ukuqeda,,,,
dsac_lif_00003,abusive <adj.>,,,,,,,,,,,,krenkend,beledigend,,,,,-hlukumezako,-tlhagisako,-tlhorisako,,-tshotlo,-tlaišo,,,,,,,,-hlekefetsang,,,,,,,-hlukumetako,,,,,-sotla,,,,,,-xanisa,,,,,,,-tambudzaho,,,,,,,,,-xhaphazayo,-thukayo,,,,,,,okuhlukumezayo,,,,
dsac_lif_00004,accept,,,,,,,,,,,,aanvaar,,,,,,-mukela,-vuma,,,-amogela,,,,,,,,,-amohela,,,,,,,emukela,vuma,,,,dumela,amogela,,,,,amukela,pfumela,,,,,,ṱanganedza,tenda,,,,,,,,-amkela,vuma,,,,,,,ukwamukela,ukuvuma,,,
dsac_lif_00005,accident,,,,,,,,,,,,ongeluk,,,,,,ingozi,,,,kotsi,,,,,,,,,kotsi,,,,,,,ingoti,,,,,kotsi,,,,,,nghozi,khombo,mhangu,,,,,khombo,phanzi,,,,,,,,ingozi,,,,,,,,ingozi,,,,
dsac_lif_00006,accompany,,,,,,,,,,,,vergesel,saamloop met,meegaan met,,,,-khambisana,-phekelela,,,-felegetša,,,,,,,,,-felehetsang,,,,,,,pheleketela,hambisana,khapha,,,pata,felegetsa,,,,,ku heleketa,,,,,,,fhelekedza,,,,,,,,,khapha,pheleka,,,,,,,ukuphelezela,ukukhapha,,,
dsac_lif_00007,accompany,,,,,,,,,,,,gepaardgaan met,in verband staan met,saamgaan met,,,,-khambisanako,-phekelelanako,,,-ba gona,,,,,,,,,-tsamaellana,-etsahalla hong,,,,,,ba khona,,,,,nna teng,,,,,,ku famba na un'wana,,,,,,,u itea mazha,,,,,,,,,ukukhapha,ukupheleka,,,,,,,ukuhambisana,,,,
dsac_lif_00008,accountant,,,,,,,,,,,,rekenmeester,,,,,,usoma-akhawundi,umgcini ma-akhawundi,,,ramatlotlo,moakhaothente,,,,,,,,akhaontente,,,,,,,umgcinimabhuku,umcwaningimabhuku,,,,mmalatlotlo,,,,,,n'watinkonta,mutivatinkonta,,,,,,muḓivhambalelano,muakhaunthenthe,,,,,,,,umbali-zimali,umcwangcisi-zimali,,,,,,,umhlolimabhuku ezimali,,,,
dsac_lif_00009,achieve <v.>,,,,,,,,,,,,behaal,bereik,,,,,-fikelela,-phumelela,,,-fihlelela,,,,,,,,,-atleha,-fihlella,,,,,,phumelela,feza,,,,fitlhelela,,,,,,humelela,fikelela,,,,,,swikela,,,,,,,,,phumelela,phumeza,fezekisa,,,,,,ukufeza,ukuphumelela,,,
dsac_lif_00010,achievement,,,,,,,,,,,,prestasie,sukses,,,,,ipumelelo,ifikelelo,,,phihlelelo,,,,,,,,,katleho,phihlello,,,,,,imphumelelo,,,,,phitlhelelo,,,,,,humelelo,mfikelelo,,,,,,tswikelo,,,,,,,,,impumelelo,,,,,,,,okufeziwe,,,,
dsac_lif_00011,acrostic poem,,,,,,,,,,,,naamdig,akrostigon,,,,,ikondlosiqubulo,,,,sereto sa akhorositiki,,,,,,,,,thothokiso ya akrostiki,,,,,,,inkondlosicubulo,,,,,leboko la akerobate,,,,,,xitlhokovetselo xa akhorositiki,,,,,,,tshirendo tsha akrostiki,,,,,,,,,umbongo oakhrostiki,,,,,,,,inkondlosiqubulo,,,,
