id,eng__001,afr__001,zul__001,xho__001,xho__002,xho__003,ssw__001,nde__001,nde__002,tsn__001,nso__001,sot__001,ven__001,tso__001,afr__002,ssw__002,ven__002,nde__003,nso__002,zul__002,tsn__002,tso__002,tso__003,afr__003,afr__004,ssw__003,sot__002,zul__003,xho__004,xho__004,eng__002,tsn__003,tso__004,ven__003,tsn__004,ven__004,afr__004,ssw__004,ssw__004,eng__003,nso__003,nde__004,sot__003
dsac_lif_00001,abduct,ontvoer,ukuthumba,uqweqwedisa umntu,ukuxhwila umntu,ukuthwalwa,tfumba,-eba umuntu,-thumba,thopa,-thopa,-kwetela,u dzhia nga khani,tlhakisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsac_lif_00002,abolish <v.> {e.g. laws},afskaf,ukuqeda,tshitshisa,bhangisa,phelisa,phelisa,-phelisa,-qeda,fedisa,-fediša,-fedisa,fhelisa,herisa,ophef,cedza,fhedza,,,,,,,,,,,,,,,,,,,,,,,,,,
dsac_lif_00003,abusive <adj.>,krenkend,okuhlukumezayo,-xhaphazayo,-thukayo,,-hlukumetako,-hlukumezako,-tlhagisako,-sotla,-tshotlo,-hlekefetsang,-tambudzaho,-xanisa,beledigend,,,-tlhorisako,-tlaišo,,,,,,,,,,,,,,,,,,,,,,,,
dsac_lif_00004,accept,aanvaar,ukwamukela,-amkela,vuma,,emukela,-mukela,-vuma,dumela,-amogela,-amohela,ṱanganedza,amukela,,vuma,tenda,,,ukuvuma,amogela,pfumela,,,,,,,,,,,,,,,,,,,,,
dsac_lif_00005,accident,ongeluk,ingozi,ingozi,,,ingoti,ingozi,,kotsi,kotsi,kotsi,khombo,nghozi,,,phanzi,,,,,khombo,mhangu,,,,,,,,,,,,,,,,,,,,
dsac_lif_00006,accompany,vergesel,ukuphelezela,khapha,pheleka,,pheleketela,-khambisana,-phekelela,pata,-felegetša,-felehetsang,fhelekedza,ku heleketa,saamloop met,hambisana,,,,ukukhapha,felegetsa,,,meegaan met,begelei,khapha,,,,,,,,,,,,,,,,,
dsac_lif_00007,accompany,gepaardgaan met,ukuhambisana,ukukhapha,ukupheleka,,ba khona,-khambisanako,-phekelelanako,nna teng,-ba gona,-tsamaellana,u itea mazha,ku famba na un'wana,in verband staan met,,,,,,,,,saamgaan met,,,-etsahalla hong,,,,,,,,,,,,,,,,
dsac_lif_00008,accountant,rekenmeester,umhlolimabhuku ezimali,umbali-zimali,umcwangcisi-zimali,,umgcinimabhuku,usoma-akhawundi,umgcini ma-akhawundi,mmalatlotlo,ramatlotlo,akhaontente,muḓivhambalelano,n'watinkonta,,umcwaningimabhuku,muakhaunthenthe,,moakhaothente,,,mutivatinkonta,,,,,,,,,,,,,,,,,,,,,
dsac_lif_00009,achieve <v.>,behaal,ukufeza,phumelela,phumeza,fezekisa,phumelela,-fikelela,-phumelela,fitlhelela,-fihlelela,-atleha,swikela,humelela,bereik,feza,,,,ukuphumelela,,fikelela,,,,,-fihlella,,,,,,,,,,,,,,,,
dsac_lif_00010,achievement,prestasie,okufeziwe,impumelelo,,,imphumelelo,ipumelelo,ifikelelo,phitlhelelo,phihlelelo,katleho,tswikelo,humelelo,sukses,,,,,,,mfikelelo,,,,,phihlello,,,,,,,,,,,,,,,,
dsac_lif_00011,acrostic poem,naamdig,inkondlosiqubulo,umbongo oakhrostiki,,,inkondlosicubulo,ikondlosiqubulo,,leboko la akerobate,sereto sa akhorositiki,thothokiso ya akrostiki,tshirendo tsha akrostiki,xitlhokovetselo xa akhorositiki,akrostigon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsac_lif_00012,addictive <adj.>,verslawend,okuhuhayo,-rhumrhekisayo,-rhubulayo,,-gcilatanako,-khobongako,-kghobako,-dira lekgobla,-hlolago bokgoba,-etsang lekgoba,-vhangaho vhupuli ha dzema,-vuhlonga,,-huhanako,,,-boneelela,,-tshwakgola,,,,,,,,,,,,,,,,,,,,,,
