"eng__001","eng__002","afr__001","afr__002","afr__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","nso__001","Tshivenda__-","nso__002","sot__-","nso__003","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003"
"absorption field {plumbing}","","absorpsieveld","","","ummandla wofunxolindle","isitamkoko","","indzawokumunya","","","ubumunyelosilaphazo","indawo yokumunyela isilaphazo","","","matlhatlhaganyane a bomunelo","","","bomonego","","lefelomonego","","","vhunwelelo","","","","vutswongelo","",""
"abutment {retaining wall}","","steunmuur","","","intsika yebhulorho","","","sisekeli","sisimisi","","isisekelibhlorho","","","","lokganedi","","","sethekgi","","","","","luvhondothikhaburoho","","","","khumbinseketelo","",""
"access chamber","","toegangskamer","","","umngxuma wokungena kwikholbhethi","","","umgodzilungeno","umgodziluhlolo","","umgodi wokuhlola amaphayiphi","","","","mokgothwana","","","moletephihlelelo","","mokotiphihlelelo","","","mulondotswikelelo","","","","muhochomfikelelo","",""
"acrow prop {temporary support}","","teleskopiese staalstut","","","intsika yexeshana","","","sisimisi sesikhashana","sisekeli sesikhashana","siphakamisi sesikhashana","isisekelimakhiwo sesikhatjhana","isika yesikhatjhana","","","matshego","","","sethekgisebakanyana","","","","","thikhopheleledzo","","","","phuphuxikhafula","",""
"actuator","","drywer","aandrywer","","isiduduli","","","sisundvuti","","","isikhambisi","","","","setsamaisi","","","sesepediši","akutshuweitha","","","","","","","","xifambisi","xilawuri",""
"aerospace engineering","","ruimte-ingenieurswese","ruimtevaartingenieurswese","","ubunjineli ngezophapho","","","bunjiniyela betindizamshini","bunjiniyela betihambamoyeni","","ubunjiniyere bezeemphaphamtjhini","ubunjiniyere bezaboflayi","","","boenjenere jwa difofane","","","boentšenerephofo","","","","","vhuinzhiniara ha zwa vhuendatshikhalani","","","","vunjhiniyara bya swa vuhahi","",""
"aggregate {concrete}","","aggregaat","toeslag","amatshe okwenza ukhonkolo","ikonkriti","","","tinhlobonhlobo telukhetse","tinhlobonhlobo teluhhayematje","tinhlobonhlobo tekucoliseka kwematje","amatjana wekhonkhridi","","","","konkereitetswakwa","","","lekgwara","","","","","thombwana","","","","xipfanganisiwandzinganelo","xihlanganisiwandzinganelo",""
"agricultural engineering","","landbouingenieurswese","landbou-ingenieurswese","","ubunjineli ngezolimo","","","bunjiniyela betekulima","","","ubunjiniyere bezokulima","","","","boenjenere jwa temothuo","","","boentšeneretemothuo","","","","","vhuinzhiniara ha zwa vhulimivhufuwi","","","","vunjhiniyara bya swa vurimivufuwi","",""
"airbrick","","lugsteen","","","isitena esineentunja","","","sitini sekungenisa umoya","","","isitina esingenisa ummoya","","","","setenarobana","","","setenamoya","","eporiki","","","tshidinatseramuya","tshidinapfukisamuya","","","xitinamoya","",""
"air-conditioner condenser","","lugversorgerkondensator","","","isiguqulisimo somoya","isihuhuzimoya","","siguculisimo semoya","sintjintjisimo semoya","","isitjhubisimrhwamuko sesiphehlimmoya","","","","sekomotisamowa","","","sefetošamoya","","","","","tshilangutshilangamufhe","","","","khondensara ya xilawulamoya","",""
"air conditioning","","lugversorging","","","ulawulomoya","uguqulomoya","ulungisomoya","kugucuka kwemoya","kuntjintja kwemoya","","ukulawulwa kwezingakutjhisa","","","","phetolamowa","","","taolomoya","","","","","vhulangamufhe","","","","vulawulamoya","",""
"aircrete","","lugbeton","","","ikonkriti ekhaphukhaphu","","","luhlobo lwasemende lolula","","","umhlobo wekhonkhridi elula","","","","konkereitefefo","konkereitetlhofo","","samentefefo","","ekhiriti","","","ekhrithi","","","","xitinambevuko","",""
"air duct","","luggang","lugkanaal","lugleiding","umjelo womoya","","","umgudvumoya","","","iphayiphi lommoya","umrhoswana wommoya","","","moselemowa","moelamowa","","sesepetšamoya","","","","","phaiphi ya muya","","","","nsokomoya","",""
"air-entrained concrete","","luggevulde beton","","","ikonkriti yokwakha indlela","ikonkriti eneentunja","ikonkriti efakwe umoya","khonkholomabhamuta","khonkholotikhala","","ikhonkhridi enamabhamuza","","","","konkereitekgopamowa","","","khonkhoritsenywamoya","","","","","khonkhirithi ya phore","","","","khonkhireti ya swimbyarumbyaru","",""
"alcove","","alkoof","","","igolongxa","","","umkhoco","","","umrhohlomela","i-alkhovu","","","logabo","","","leobo","","alekhoufu","","","alkhouvu","","","","nkovotlaxikhaviso","alikhovhu",""
"anchor {for stability}","","anker","","","iankile","","","sibophi","sibopheleli","","isibopheleli","i-ankere","","","lomapo","tshetledi","","sebofagantšhi","","enkhara","","","tshiṱanganyi","tshiṱumanyi","","","xitiyiso","xibohelo",""
"ant cap","","mierskerm","mierskut","","isithintelimbovane","","","sivimbelincangozi","sivimbelimuhlwa","","isivimbelimuhlwa","isikhandelimuhlwa","","","sekganeladitshoswane","","","sethibelamohlwa","","","","","tshithivhelamutshenzhe","tshipilamutshenzhe","","","xisivelamuhlwa","xisivelamajenje",""
"applied engineering","","toegepaste ingenieurswese","","","ubunjineli ngokwamakhondo","","","bunjiniyela belwentiwomsebenti","bunjiniyela bemakhono","","ubunjiniyere bokuphumelelisa amakghono","","","","boenjenere jwa tirisego","","","boentšeneretirišo","","boentšeneretšhomišo","","","vhuinzhiniara ha zwa mashumisele","vhuinzhiniara ha zwa kushumisele","","","vunjhiniyara bya swa matirhiselo","",""
"arcade","","arkade","deurloop","","indledlana enophahla","iakheyidi","","umhume loneluphahla","i-akheyidi","","umrhoswana ofulelweko","i-akheyidi","","","mogorogoro","akheite","","tselanagaremeago","","akheiti","","","akheidi","","","","akhedi","",""
"architect","","argitek","","","umyilizakhiwo","","","umcambisakhiwo","umcambiplani","","umtlami wamaplani wemakhiwo","","","","moraladikago","","","mohlamadipolane","","moakhitheke","","","muakhithekhithi","muaṭshithekhithi","","","mutshulatipulani wa miako","n'watipulani wa miako",""
"architectural engineering","","argitektoniese ingenieurswese","","","ubunjineli boyilozakhiwo","","","bunjiniyela belucambosakhiwo","","","ubunjiniyere bokutlama imakhiwo","","","","boenjenere jwa boralodikago","","","boentšeneretlhamopolane","","","","","vhuinzhiniara ha muakhithekhithi","vhuinzhiniara ha zwa muatshithekhithi","","","vunjhiniyara bya swa miako","",""
"architecture","","argitektuur","bouwkunde","","ubugcisa boyilozakhiwo","inzululwazi ngoyilozakhiwo","","buciko bekucamba sakhiwo","","","ubukghwari bokutlama imakhiwo","","","","boraladikago","","","boakhitheke","","bohlamadipolane","","","vhutsila ha muolimakone","vhutsila ha vhuolintende","vhuakhithekhithi","vhuatshithekhithi","ntivavutshulatipulani bya miako","",""
"architrave","","argitraaf","kosynlys","","umhombiso womgubasi","","","lifremu lelihlotjisiwe","liguseni lelihlotjisiwe","","umhlobiso wegoseni","umkghabiso wegoseni","","","lebalelo la kosene","","","morumokgabišo","","akhithereifi","","","phendelafureme","","","","xikhavisarimba","",""
"areaway","","luggang","","","indawo yokungena kwigumbi elingaphantsi komhlaba","","","indlela leya endlini yangaphasi","","","ubehlelo bomakhiwo ongaphasi","","","","tselanaphetisi","","","lešobamoya","","lešobaseetša","","","nḓilagodi","","","","mpfutla","",""
"area well","","oppervlakteput","terreinput","","ungqameko","","","liguma","umtsangala","","isirhodlwana somkhanyo","","","","sekganelammu","","","sekgobapheko","","","","","tshithivhela","tshikhalamvulelo","","","xivandlanghubelo","",""
"arris","arris edge","skerprand","snyrand","","uqoqo","umqolo","","umngcengcema","","","umqoqo","","","","mokhutlolo","","","morumontlhasehloa","","arisi","","","mutalophandi","arisi","","","mahlanganantontswo","",""
"as-built drawing","","soos-gebou-tekening","soosgeboutekening","","uhlaziyoplani ngokwesakhiwo","","","lubuyeketo lwesakhiwomdvwebo","","","amatjhuguluko weplani enziwe emakhiweni","ukubuyekezwa kweplani ngokomakhiwo","","","thalo-ka-seago","","","polanephetošwa","","","","","nyolonyedzatshifhaṱo","","","","macincwa-hi-ku-akiwa","",""
"ashpit","","asput","askuil","","isikhongozelithuthu","","","sikhangetelimlotsa","","","isibekelelimlotha","isikhongozelimlotha","","","bolorelo","","","bowelamolora","","","","","tshifaredzamiora","tshifaredzamilora","","","xihlengeletelankuma","",""
"astragal","","astragaal","kraallys","","isivingci","isithinteli","","sihlanganisitivalo","sihlanganisiminyango","","isihlanganisiminyango","i-astragali","","","sekopanyapati","","","sekopanyamabati","","aseterakale","","","luvhembaṱhanganyi","astragala","","","xisivelankhuhlano","asitiragali",""
"atrium","","atrium","binnehof","","iathriyam","isingenisikukhanya kwisakhiwo esikhulu","","ihholo lengumhubhe","","","umrhoba wamarhalasi","i-athriyamu","","","botsenasedi","atheriamo","","atheriamo","","atriamo","","sekgobagadiseyagodimo","athriamu","","","","athiriyamu","",""
"attic","","solder","solderkamer","dakkamer","isololo","iathiki","igunjana eliseluphahleni","ligumbi leliseluphahleni","","","ikumba esemfulelweni","","","","athiki","","","sekgobatlasethulelo","","athiki","","sekgobatlasetlhaka","vhuralani","athiki","","","nturukwa","kamaraxinturukwa",""
"autonomous vehicle {electrical engineering}","","outonome voertuig","selfbestuurvoertuig","","imoto eziqhubayo","imoto ezilawulayo","","imoto letishayelako","imoto letilawulako","","isithuthi esizikhambelako","isikhwelo esizikhambelako","isikhambisi esizitjhayelako","","seijesanaga","","","sefatanagaikotlela","","","","","tshiendedziḓilangula","","","","xipandzamanangamatifambisa","",""
"awning window","","sonskermvenster","weerskermvenster","","ifestile ekhabela phezulu","","","lifasitelo lelidekukako","lifasitelo leliphakamako","","ifesidere elivulekela ngehla","","","","letlhabapheforiba","","","lefaseterepenoga","","","","","fasiṱere ḽa thephuthephu","","","","fasiterepfulelahenhla","",""
"axed arch","","gekapte boog","","","igophe","iatshi","","i-ashi","i-akhi","","i-atjhi enegobela","","","","seoboketlo","","","kobitena","","sekaboratena","","","tshiaramokute","","","","aka ya switina","",""
