id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,afr__005,zul__001,zul__002,zul__003,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,sot__001,sot__002,sot__003,sot__004,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004
dsac_multi_hum_00001,absolute advantage,,,,absolute voordeel,,,,,ukukhiqizakweva,,,isakhono sokuvelisa ngokwanelisayo kunabanye,isakhono sokuvelisa ngcono kunabanye,,,kukhicita ngebunyenti,,,,,ubungcono obupheleleko,,,,tshiamelokgolo,,,bokgonitšweletšontši,,,tlhahisongata ka mehlodi e menyane,boipabolo tlhahisong,,,vhukonimveledzazwinzhi,,,,andzisonyingi,,,
dsac_multi_hum_00002,account {statement},,,,rekening,,,,,i-akhawunti,,,inkcazo-mali,i-akhawunti,inkcazelo-mali,,sitatimendetimali,i-akhawunti,,,,isitatimende se-akhawundi,,,,tshupatlotlo,,,akhaonte,,,seteitemente sa akhaonte,,,,tshitatamennde,mbalelano,,,nkota,akhawunti,,
dsac_multi_hum_00003,account fees,,,,rekeninggeld,rekeningfooi,,,,izindleko ze-akhawunti,inkokhelo ye-akhawunti,,imirhumo yee-akhawunti,,,,tindleko te-akhawunti,,,,,iindleko ze-akhawundi,,,,madisasefala,letlamelatshupatlotlo,madisatshupatlotlo,ditifišo tša akhaonte,,,ditefello tsa akhaonte,,,,mbadelo dza tshumelo,,,,tihakelo ta nkota,tihakelo ta akhawunti,,
dsac_multi_hum_00004,amortisation,,,,amortisasie,,,,,isinciphisasikweletu,,,inkqubo yocutho-tyala,,,,kubhadala kancane kancane,kubhadala ngesitolimende,kukhokha kancane kancane,kukhokha nesitolimende,,ukubhadala ngesitolimende,ukubhadela ngesitolimende,,,tuelomolato,,,mokitlana,tefelo ka go kompetša,,instolmente ya kadimo,,,,u badela nga zwiṱuku nga zwiṱuku,u badela nga mutome,,,hakelo hi swiphemu,,,
dsac_multi_hum_00005,appreciation,,,,appresiasie,,,,,ukhuphukobunani ngokwesikhathi,,,unyuko-maxabiso,,,,kwenyuka kwebungakomali,kukhuphuka kwemandla emali,kwenyuka kwentsengo,kukhuphuka kwentsengo,kwenyuka kwemandla emali,ukwenyuka kwamandla wemali,ukwenyuka kwamandla wepahla,,,koketsegoboleng,kgoloboleng,,kgolo ka boleng,kgolo ka theko,,keketseho ya boleng,kgolo ya boleng,,,vhugonyandeme,,,,engeteleko wa nxavo,engeteleko wa nkoka,,
dsac_multi_hum_00006,arbitrage,,,,arbitrage,,,,,ukuhweba,,,i-abhitraji,utshitshiso lwekhoyo ngefana nayo ngaxeshanye kusenziwa inzuzo,,,kutseng'utsengise,,,,,ukuthenga uthengise ipahla,i-abhatjhaji,,,thekothekiso,,,thekothekišo,go reka le go rekiša sammaletee,,reka o rekisa,,,,thengothengiswa,,,,nxavonxaviso,nxavonxaviselohenhla,,
dsac_multi_hum_00007,arrears,,,,betalings,gelde,,,,insalelokukhokha,,,ukuba semva ngentlawulo,,,,kusalela emuva ngesikweleti,,,,,isikolodo esisaleleko,isikwelede esisaleleko,,,tshalelotuelo,,,tšhalelo ka tefelo,,,sekgothe,tshallomorao,,,malengelenge,,,,tihakelondzhaku,,,
dsac_multi_hum_00008,asset,,,,bate,,,,,ingcebo,impahla,,i-asethi,impahla enexabiso,,,imphahla,umcebo,ingcebo,,,ipahla,,,,thoto,,,thoto,letlotlo,,thepa,,,,ndaka,thundu,,,nhundzu,rifuwo,,
dsac_multi_hum_00009,auction <n.> {sale of e.g. wool},,,,veiling,vendusie,,,,indalikuncintisana,,,ifandesi,utshitshiso-mpahla ngexabiso eliphezulu kunabanye,,,indali yekubhidelwa,ifandesi,i-okshini,,,ifandisi,ifandesi,,,fantisi,,,fantisi,,,fantisi,,,,fandisi,okusheni,,,fandisi,okixini,nxavomphikizano,
dsac_multi_hum_00010,audit trail,,,,ouditspoor,,,,,uhlamniningwano,,,umzila wophicotho-zincwadi,umkhondo wophicotho-zincwadi,,,umvila welucwaningomabhuku,umzila welucwaningomabhuku,tinyatselo telucwaningomabhuku,,,umtlhala weencwadi zeemali,,,,tshupothuno,,,tlhakišo ya matlotlo,go oditha,,thantsho ya bohlahlobi ba dibuka,,,,vhuṱala ha odithi,,,,ntila wa vuhleri,ntila wa oditi,,
