id,eng__001,eng__002,eng__003,eng__004,eng__005,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_ict_00001,aerial,,,,,lugdraad,antenne,,,usiba,uthi,,,isitsali-maza,ieriyali,,,,sibambamagagasi,i-eriyeli,,,,isikhambisimaza,isikhambisimdumo,,,eriele,lenakaphetisi,,,,,eriale,eriele,moteka,,,,eriele,lesiba,,eriaḽa,luṱhaṱhe,,eriyani,,
dsac_multi_ict_00002,airmail,,,,,lugpos,,,,ukuposa ngendiza,,,,uthumelo mbalelwano ngezomoya,iposi yomoya,,,,liposi lemoya,liposimoya,,,,iposommoya,,,,posofofane,,,,,,poso ka sefofane,,,,,,poso ka sefofane,poso ya moyeng,,poswo ya muyani,poswonyendedzwamuyani,,poso-hahiso,,
dsac_multi_ict_00003,antenna,,,,,antenne,,,,inzwangomoya,,,,ucingo lwesitsali-maza,ucingo lwe-eriyali,,,,sitfumelimagagasi,sihoshi,sichumamagagasi,i-eriyeli,i-anthena,isikhambisimdumo,isikhambisimaza,,,lenakaphetisi,anthena,,,,,lenakana,anthena,,,,,eriala,sephopholetsi,lesiba,eriaḽa,luṱhaṱhe,,eriyani,,
dsac_multi_ict_00004,apparatus,,,,,apparaat,toestel,,,insizakusebenza,,,,izixhobo,,,,,tisetjentiswa,,,,,iinsetjenziswa,,,,sediriswa,,,,,,setlabakelo,sedirišwa,setlabelo,aphareithase,,,sesebediswa,,,tshishumiswa,,,xigotso,,
dsac_multi_ict_00005,application,,,,,toepassing,applikasie,,,uhlelokusebenza,,,,inkqubo yekhompyutha,,,,,luhlelokwenta,,,,,ikghonakalisohlelo,ihlelongqondomtjhini,,,lenaanetiriswa,,,,,,lenaneotirišo,,,,,,lenaneo la khompyutha,motlaotutswe,,apḽikhesheni,,,nongonoko-nkongoma,,
dsac_multi_ict_00006,audio-visual n.,,,,,oudiovisuele toerusting,oudiovisuele apparaat,,,ukuzwakubona,ukuzwakubuka,,,umabonwa-eviwa,,,,,malalelwabukwa,,,,,umalalelwabukelwa,,,,sedirisokutlopono,,,,,,go kwewa le go bonwa,,,,,,sesebediswa sa kutlo le pono,kutlopono,,mbonalopfiwa,,,xivonwa-twiwa,,
dsac_multi_ict_00007,audio-visual adj.,,,,,oudiovisueel,,,,-kuzwakubona,-kuzwakubuka,,,ebonwa iviwa,,,,,-lalelwabukwa,,,,,-lalelabukelwa,,,,-kutlopono,,,,,,ya go kwewa le go bonwa,,,,,,- kutlo le pono,kutlopono,,mbonalopfiwa,,,xo twiwa no voniwa,,
dsac_multi_ict_00008,bandwidth,,,,,bandwydte,,,,umkhawulokwamukela,umkhawulokudonsa,,,umthamo wothungelo-lwazi,amandla okuqhagamshelanisa,,,,umtsamo,ummumatfo,,,,umkhawulelommumatho,,,,kgonothebolo,,,,,,bonabophihlelo,,,,,,matla a phetisetso,,,vhuphara ha vhurathisi,,,mpimo-hungu,,
dsac_multi_ict_00009,bit,,,,,bis,,,,isimumathalwazi esincu,ibhithi,,,isuntswana lolwimi lwekhompyutha,,,,,mantjikane,ibhithi,,,,ibhithi,isikhadlanammumatho,,,karolwanatlhaka,,,,,,tsekana ya paete,paetana,,,,,biti,,,bithi,,,nhlayo-rito {hi xikhompyuta},hlaya-rito,
dsac_multi_ict_00010,broadcast v.,,,,,uitsaai,uitsend,,,-sakaza,,,,ukusasaza,,,,,sakata,,,,,rhatjha,,,,-gasa,,,,,,gaša,hlagiša moyeng,,,,,hasa,,,-hasha,,,haxa,,
dsac_multi_ict_00011,broadcasting service,,,,,uitsaaidiens,,,,ezokusakaza,,,,inkonzo yosasazo,,,,,tekusakata,,,,,zokurhatjha,,,,tirelokgaso,,,,,,tirelokgašo,tirelotlhagišomoyeng,,,,,tshebeletso ya kgaso,,,tshumelo ya khasho,,,vuhaxi,,
dsac_multi_ict_00012,browser,,,,,leser,blaaier,rondblaaier,,isiphequluli,,,,isikhangelisi,,,,,siphenyi,,,,,isiphenyi,,,,sephetlatsebe,,,,,,praosara,lenaneonyako {khomphyutheng},,,,,thalotso,,,brausa,,,phurogireme ya nhlayiso,nongonoko-nhlayiso,
dsac_multi_ict_00013,byte,,,,,greep,,,,isimumathalwazi,,,,ibhayithi,,,,,mantjikane,ibhayithi,ibhithi,,,isikhadlanammumatho,,,,tlhaka,,,,,,ntsekana ya paete,paetana,,,,,baete,,,baithi,,,rito {hi xikhompyuta},,
dsac_multi_ict_00014,cable,,,,,kabel,,,,intambo kagesi,ikhebuli,,,intambo yombane,intambo yefoni,ikheyibhuli,,,ikhebuli,,,,,intambomlilo,ikheyibuli,,,mogala,kheibole,,,,,kheibole,kheipole,,,,,kheibole,,,khebuḽu,,,khebulu,,
dsac_multi_ict_00015,CD,compact disc,,,,CD,kompakskyf,laserskyf,,icwecwe,,,,icwecwe,icwecwe lomculo,icwecwe lolwazi,,,i-CD,,,,,i-CD,,,,CD,,,,,,CD,,,,,,CD,,,CD,,,CD,,
dsac_multi_ict_00016,cellphone,mobile phone,,,,selfoon,sellulêre telefoon,,,umakhalekhukhwini,ucingoluphathwayo,iselula,,iselula,iselfowuni,umafumaneka naphi,umathunyw’asabele,,makhalekhikhini,,,,,umaliledinini,iselifoni,ufunjathwako,,selefouno,selula,,,,,selfoune,selula,sele,sellathekeng,,,selefounu,,,luṱingothendeleki,luṱingokhwalwa,seḽefouni,selefoni,marila-nyongeni,
