id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,tso__001,tso__002,tso__003,tso__004
dsac_multi_math_00001,abacus <pl abaci>,counting frame,,,telraam,,,,uhlaka lokubala,insizakubala,uqwembe lokubala,,i-abhakhasi,uphahla lokubala,isihlohlo sobalo,,,luhlakakubala,sikhombisa bungako benombolo,i-abhakhasi,,,i-abhakhasi,,,kgatlatalama,,,sebalapalo,motheopalo,abakhase,mmadiphetana,abakhase,,,abakhasi,fureme ya u vhalela,,,,abakhasi,xihlayelo,,
dsac_multi_math_00002,abbreviate,,,,afkort,,,,finyeza,finqa,nciphisa,,finyeza,shunqula,yenza mfutshane,,,finyeta,fishanisa,,,,rhunyeza,,,khutshwafatsa,,,khutsofatša,,,,kgutsufatsa,,,-pfufhifhadza,u ṱukufhadza,,,,komisa,,,
dsac_multi_math_00003,abbreviation,,,,afkorting,,,,isifinyezo,,,,isifinyezo,isishunqulelo,,,,sifinyeto,sifishaniso,,,,isirhunyezo,,,khutshwafatso,,,khutsofatšo,,,,kgutsufatso,,,pfufhifhadzo,u ṱukufhadza,,,,nkomiso,,,
dsac_multi_math_00004,above {space and position},,,,bo,bo-op,,,ngaphezulu,ngenhla,,,ngaphezulu,phezulu,ngasentla,ngentla,,etulu,ngenhla,ngetulu,,,ngehla,ngaphezulu,,godimo,,,ka godimo,,,,ka hodima,,,nṱha ha,,,,,henhla ka,,,
dsac_multi_math_00005,abstract adj.,,,,abstrak,,,,okungabonakali,okungathinteki,okusemcabangweni,,engaphathekiyo,ekwingqiqo,eqikelelwayo,,,-ngaphatseki,-ngabonakali,,,,-ngaphathekiko,,,segopolo,,,senaganwa,segopolwa,,,kgopolotaba,,,tshihumbulelwa,,,,,xianakanyiwa,,,
dsac_multi_math_00006,acceptable,,,,aanvaarbaar,aanneemlik,,,okuvumelekile,okwemukelekile,,,eyamkelekayo,ivumelekile,isemthethweni,isemgaqweni,,-emukelekako,-emukeleka,-emukelekile,,,-amukelekako,-vumekako,,amogelesega,,,amogelega,amogelegago,,,amoheleha,,,ṱanganedzea,u tendelwa,,,,amukeleka,,,
dsac_multi_math_00007,accessory,optional part,,,bykomstigheid,,,,isengezelelo,isinazelo,,,isongezelelo,isincedisi,isixokomezelo,into osenokungayikhethi,into ozikhethelayo,selekeleli,incenye yekutikhetsela,insita,selekelelo,,umkhambisani,isingezelelo,,sediriswatlaleletsi,,,setlaleletši,seoketši,,,setlatseletsi,,,tshiengedzwa,tshishumiswa,tshipiḓa-engedza,,,xiphemu xo engetela,,,
dsac_multi_math_00008,account,,,,rekening,,,,ulondolozomali,imali elondolozwayo,,,i-akhawunti,,,,,sikweleti,i-akhawunti,,,,i-akhawundi,,,letlotlo,,,tšhupaletlotlo,akhaonte,,,akhaonte,,,akhaunthu,,,,,akhawunti,xikweleti,,
dsac_multi_math_00009,accuracy,,,,akkuraatheid,noukeurigheid,,,ukucophelela,ukuqikelela,,,ukuchaneka,,,,,kunemba,,,,,inembo,,,nepagalo,,,nepagalo,,,,nepahalo,,,vhuronwane,zwa vhukuma-kuma,,,,nkahoxeko,akhuresi,,
dsac_multi_math_00010,accurate,,,,akkuraat,noukeurig,,,cophelela,nembayo,,,ichanekile,-chanekileyo,,,,-nembako,,,,,-nembako,,,nepagetse,,,nepagetšego,nepagala,,,nepahetse,,,zwa vhukuma,vhuronwane,,,,hetiseka,akhureti,,
