id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003
dsac_ns_nguni_00001,abdomen,,,abdomen,,,isisu,inxasisu,,,amanqe,amazants’esisu,,,,,sisu,,,,isisu,,
dsac_ns_nguni_00002,absorb,,,absorbeer,,,-munca,-donsa,-habula,,ukufunxa,ukutsala,,,,,munya,,,,ginya,munya,
dsac_ns_nguni_00003,absorption n.,,,absorbering,absorpsie,,ukumunca,ukudonsa,ukuhabula,,ufunxo,utsalo,,,,,kumunya,,,,ukuginya,ukumunya,
dsac_ns_nguni_00004,acacia,,,akasia,,,umkhambathi,umunga,,,iintlobo zeminga,,,,,,singa,,,,i-akhatjhiya,,
dsac_ns_nguni_00005,access n. {computers},,,toegang,,,okuvumeleka,ukukwazi ukungena,ukugunyazwa,ukufinyelela,ukungena kwikhompyutha,okuvula ikhompyutha,,,,,imvume,kutfola indlela,,,ilungelo,,
dsac_ns_nguni_00006,access v.,,,toegang verkry,,,-vumeleka,-ngena,-finyelela,-gunyaza,ukungena,okuvula,,,,,vumeleka,ngena,,,fikelela,,
dsac_ns_nguni_00007,accumulate,,,ophoop,akkumuleer,,-qongelela,-andisa,,,ukunyusa,ukukhulisa,,,,,congelela,butsela,,,buthelela,anda,
dsac_ns_nguni_00008,accumulator {battery},,,akkumulator,opgaarbattery,,isigcinamlilo,ilahle likagesi,,,ibhetri,isigcini-mbane,,,,,sicongeleli,sibutseligezi,,,isimumathimlilo,,
dsac_ns_nguni_00009,accumulator {computer},,,akkumulator,,,isigcinalwazi {isiqoqelilwazi},,,,isigcini-lwazi sekhompyutha,,,,,,sicongeleli,,,,isilulumbalo,,
dsac_ns_nguni_00010,accurate,,,akkuraat,noukeurig,,-ngqo,-nembayo,-shayakhona,,chanekile,,,,,,-nembako,,,,-nembako,,
dsac_ns_nguni_00011,acid n.,,,suur,,,uketshezi olushisayo,i-esidi,,,iasidi,,,,,,mamunywane,i-esidi,,,isidlavuzi,i-esidi,
dsac_ns_nguni_00012,acid rain,,,suurreën,,,imvula ene-esidi,,,,imvula eneasidi,,,,,,imvula lene-esidi,,,,izulusidlavuzi,,
dsac_ns_nguni_00013,acrylic paint,,,akrielverf,,,upende oxutshwa namanzi,upende osebenzisa amanzi,,,ipeyinti enesiseko esingamanzi engasukiyo,,,,,,ipendi yemanti,,,,ipende yamanzi,,
dsac_ns_nguni_00014,acrylic resin,,,akrielhars,,,ingxube yokwenza upulastiki,ingxube yokwenza ucwazi,inhlama yokwenza ucwazi,inhlama yokwenza upulastiki,intlaka yokwenza iplastiki,,,,,,i-akhrayiliki resini,,,,ikghomu yokuzenzela,,
dsac_ns_nguni_00015,additive,,,bymiddel,,,isinongo,,,,isinongi,,,,,,sinongo,,,,isinungo,,
dsac_ns_nguni_00016,adhesive,,,kleefmiddel,,,inomfi,,,,isincamathelisi,,,,,,sinamatselisi,,,,-namathiselako,inovu,
dsac_ns_nguni_00017,adventitious root,fibrous root,bushy root,bywortel,,,impandemxhantela,,,,ingcambu ehlakahlaka,,,,,,imphandzechakela,,,,umrabhu otantelako,umrabhu orarelako,
dsac_ns_nguni_00018,aeroplane,,,vliegtuig,,,ibhanoyi,indiza,,,inqwelomoya,,,,,,indizamshini,,,,isiphaphamtjhini,uflayi,
dsac_ns_nguni_00019,agent {e.g. chemical},,,agens,,,isiguquli,isididiyeli,,,isiguquli,,,,,,siguculi,sintjintjabunjalo,,,isenzisi,,
dsac_ns_nguni_00020,agricultural product,,,landbouproduk,,,umkhiqizo wezolimo,,,,imveliso yolimo,,,,,,umkhicito wetekulima,,,,ivezo lezokulima,,
dsac_ns_nguni_00021,agriculture,,,landbou,,,ezolimo,,,,ezolimo,ulimo,,,,,tekulima,,,,umsebenzi wokulima,,
dsac_ns_nguni_00022,air,,,lug,,,umoya,,,,umoya,,,,,,umoya,,,,ummoya,,
dsac_ns_nguni_00023,air bubble n.,bubble,,blasie,lugblasie,,igwebu,,,,iqamza,,,,,,ligwebu,,,,igwebu,,
dsac_ns_nguni_00024,air-conditioning,,,lugversorging,,,ukuhlehla komoya,ukulawulwa komoya,,,ulawulo-qondo lomoya,,,,,,kuntjintja umoya,,,,isithlodlhimmoya,,
dsac_ns_nguni_00025,aircraft,,,lugvaartuig,,,indizamshini,,,,inqwelomoya,inqwelontaka,,,,,incolamoya,,,,isiphaphamtjhini,uflayi,
dsac_ns_nguni_00026,air current,,,lugstroom,,,umsinga womoya,,,,umsinga-moya,,,,,,umsinga wemoya,,,,umsinga wommoya,,
dsac_ns_nguni_00027,air-cushion,,,lugkussing,,,isikhwama somoya,,,,umqamelo womoya,,,,,,sibambamoya,,,,isijamisi esisibambammoya,,
dsac_ns_nguni_00028,air drill,,,druklugboor,,,ibhola,isibholi,idrili,,isigqobhozi somoya,isembi somoya,,,,,libholamoya,,,,ibhoro yommoya,,
dsac_ns_nguni_00029,air flow,,,lugstroming,,,ukuheleza komoya,ukushweza komoya,,,ijelo lomoya,ukuhamba komoya,,,,,kuheleta kwemoya,,,,ukukhamba kommoya,,
dsac_ns_nguni_00030,air pollution,,,lugbesoedeling,,,ukungcola komoya,ukunukubezeka komoya,,,ungcoliseko lomoya,,,,,,kungcola kwemoya,kunukubeteka kwemoya,,,ukusilaphazeka kommoya,,
dsac_ns_nguni_00031,airport,,,lughawe,,,isikhumulo sezindiza,ishashalazi lendiza,,,isikhululo seenqwelomoya,,,,,,inkhundla yetindiza,sikhumulo setindiza,,,idoyelo leenkhwelommoya,,
dsac_ns_nguni_00032,air receiver {technology},,,lughouer,,,isigubhu somoya,,,,isamkeli-moya,,,,,,silondvolotamoya,,,,isimumathimmoya,,
dsac_ns_nguni_00033,air reservoir,,,lugreservoir,,,isigcinamoya,,,,isigcini-moya,,,,,,silulumoya,,,,isibulungimmoya,,
dsac_ns_nguni_00034,airtight adj.,,,lugdig,,,-ngangenimoya,,,,evingcela umoya,,,,,,valeke-ngci,,,,-ngavumeli mmoya,,
dsac_ns_nguni_00035,albatross,,,albatros,,,i-albhathrosi,,,,ingabangaba,,,,,,i-albhathrosi,,,,i-albatrosi,,
dsac_ns_nguni_00036,alcohol,,,alkohol,,,uketshezi oludakisayo,isidakisi,,,isinxilisi,,,,,,i-alkhoholi,,,,isiwumeli,i-alkhoholi,
dsac_ns_nguni_00037,alcoholic drink,,,alkoholiese drank,,,isiphuzo esidakisayo,utshwala,,,isiselo esinxilisayo,utywala,,,,,sinatfo lesine-alkhoholi,tjwala,,,utjwala,isiselo esiwunyelweko,
dsac_ns_nguni_00038,alkali,,,alkali,,,i-alikhali,,,,isithomalalisi bumuncu,,,,,,i-alkhalayi,,,,iintjhuqisi,,
dsac_ns_nguni_00039,alkaline adj.,,,alkalies,,,-njenge alikhali,,,,ethomalalisa ubumuncu,,,,,,-ne-alkhalayi,,,,-tjhuqisako,,
dsac_ns_nguni_00040,alligator,,,alligator,kaaiman,,ingwenya yaseMelika naseShayina,i-aligetha,,,uhlobo lwengwenya olufumaneka eMelika,,,,,,i-aligetha,,,,umhlobo othileko wegulukudela,umhlobo othileko wengwenya,
dsac_ns_nguni_00041,alloy,,,allooi,legering,,inhlanganisela yezinsimbi,,,,umxube weentsimbi,,,,,,insimbinhlanganisela,i-aloyi,,,i-aloyi,isimbimvango,
dsac_ns_nguni_00042,aloe,,,aalwyn,,,inhlaba,,,,ikhala,umhlaba,,,,,inhlaba,,,,isikghopha,,
dsac_ns_nguni_00043,aloe flower,,,aalwynblom,,,uvovo,imbali yenhlaba,,,imvomvo,intyatyambo yekhala,,,,,vovovo,imbali yenhlaba,,,ithuthumbo lesikghopha,,
dsac_ns_nguni_00044,alternating current {electricity},,,wisselstroom,,,ukuphambana kwamandla kagesi,,,,umsinga wombane oqakathayo,,,,,,umsinga lontjintjako,,,,itlelezo elidlheganako,,
dsac_ns_nguni_00045,altitude,,,hoogte,,,ukuphakama,,,,umphakamo,ukuphakama,,,,,kuphakama,,,,iphakamolwandle,,
dsac_ns_nguni_00046,aluminium,Al,,aluminium,Al,,i-aluminiyamu,,,,ialuminiyami,,,,,,i-aluminiyamu,,,,i-aluminiyamu,,
dsac_ns_nguni_00047,ammeter {electricity},amperemeter,,ammeter,ampèremeter,,isilinganisamandla sikagesi,i-amitha,isikalamandla sikagesi,,isibali-mandla ombane,,,,,,sikalagezi,,,,isilinganisomlilo,i-amitha,
