id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,nso__007,nso__008,sot__001,sot__002,sot__003,sot__004
dsac_ns_sotho_00001,abdomen,,,abdomen,,,mpa,,,,mpa,,,,,,,,mpa,,,
dsac_ns_sotho_00002,absorb,,,absorbeer,,,gopa,monyela,hupa,,mona,gamola,moma,hupa,,,,,monya,,,
dsac_ns_sotho_00003,absorption n.,,,absorbering,absorpsie,,monyelo,,,,kgamolo,momo,khupo,kanyo,,,,,ho monya,ho monyela,,
dsac_ns_sotho_00004,acacia,,,akasia,,,sika lootlharemmitlwa,,,,mošwana,,,,,,,,leoka,,,
dsac_ns_sotho_00005,access n. {computers},,,toegang,,,botseno,,,,tseno,tumelelo,phihlelelo,khwetšo,,,,,phihlello,,,
dsac_ns_sotho_00006,access v.,,,toegang verkry,,,go tsena,,,,humana,tsena,dumelela,fihlelela,,,,,fihlella,,,
dsac_ns_sotho_00007,accumulate,,,ophoop,akkumuleer,,kokotlela,kokotletsa,,,kgobela,kgoboketša,kgobokanya,kgobokantšha,,,,,bokella,,,
dsac_ns_sotho_00008,accumulator {battery},,,akkumulator,opgaarbattery,,sekokotletsi sa motlakase,,,,sekgobedi,sekgoboketši,sekgobokanyi,,,,,,sebokelli,,,
dsac_ns_sotho_00009,accumulator {computer},,,akkumulator,,,segatisatiriso ya porogerama,,,,sekgobelo,bokgobelo,,,,,,,sebokelli,,,
dsac_ns_sotho_00010,accurate,,,akkuraat,noukeurig,,nepagetse,,,,nepagetšego,nepagalago,,,,,,,nepahetse,,,
dsac_ns_sotho_00011,acid n.,,,suur,,,esiti,,,,esiti,,,,,,,,esete,esiti,asiti,
dsac_ns_sotho_00012,acid rain,,,suurreën,,,pulatlhole,,,,pula ya esiti,,,,,,,,pula e esiti,,,
dsac_ns_sotho_00013,acrylic paint,,,akrielverf,,,pente ya akereliki,,,,pentemeetse,pente ya akhreliki,,,,,,,pente ya metsi,,,
dsac_ns_sotho_00014,acrylic resin,,,akrielhars,,,borekhu jwa akereliki,,,,borekhu bja akhreliki,,,,,,,,boroku,,,
dsac_ns_sotho_00015,additive,,,bymiddel,,,setswaki,,,,setswaki,,,,,,,,seeketswa,,,
dsac_ns_sotho_00016,adhesive,,,kleefmiddel,,,semamaretsi,sekgomaretsi,,,sekgomaretši,semometši,segomaretši,,,,,,sekgomaretsi,semamaretsi,,
dsac_ns_sotho_00017,adventitious root,fibrous root,bushy root,bywortel,,,moditlhale,modikgopo,,,moduboyana,muduntšhuhlana,modusehlogakabontši,,,,,,mothatswana,mothapo o sehlahla,,
dsac_ns_sotho_00018,aeroplane,,,vliegtuig,,,sefofane,,,,sefofane,folayematšhene,,,,,,,sefofane,,,
dsac_ns_sotho_00019,agent {e.g. chemical},,,agens,,,phetodi,,,,sefetoši,,,,,,,,sefetodi,,,
dsac_ns_sotho_00020,agricultural product,,,landbouproduk,,,kungo ya setemothuo,,,,setšwatemong,setšwatemothuong,,,,,,,sehlahiswa sa temo,sehlahiswa sa temothuo,,
dsac_ns_sotho_00021,agriculture,,,landbou,,,temothuo,,,,bolemi,bolemirui,,,,,,,temo,temothuo,,
