id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007
dsac_ns_4to6_00001,abdomen,,,abdomen,,,thumbuthumbu,,,,khwiri,,,,,,
dsac_ns_4to6_00002,absorb,,,absorbeer,,,tzwonzwa,nwa,,,tswonga,,,,,,
dsac_ns_4to6_00003,absorption n.,,,absorbering,absorpsie,,mutzwonzwo,munwelo,,,ntswongo,,,,,,
dsac_ns_4to6_00004,acacia,,,akasia,,,muunga,,,,nkonde,munga,muluwa,,,,
dsac_ns_4to6_00005,access n. {computers},,,toegang,,,tswikelo,,,,mpfumelelo,mfanelo,ku nghena,mfikelelo,,,
dsac_ns_4to6_00006,access v.,,,toegang verkry,,,-swikela,,,,pfumelela,nghena,fikelela,,,,
dsac_ns_4to6_00007,accumulate,,,ophoop,akkumuleer,,kuvhanganya,kuvhangana,engedza,khokha,hlengeleta,,,,,,
dsac_ns_4to6_00008,accumulator {battery},,,akkumulator,opgaarbattery,,tshikuvhanganyi,,,,xihlengeleta-gezi,xihlayisa-gezi,,,,,
dsac_ns_4to6_00009,accumulator {computer},,,akkumulator,,,akhumuḽeitha,,,,rhijisitara-xikhomphyuta,rhijisitara-xikhomphyutara,,,,,
dsac_ns_4to6_00010,accurate,,,akkuraat,noukeurig,,kwakwakwa,-one,,,khaqa!,xonaxona,kwatsa!,,,,
dsac_ns_4to6_00011,acid n.,,,suur,,,esidi,,,,rimunywana,asidi,esidi,,,,
dsac_ns_4to6_00012,acid rain,,,suurreën,,,mvula ya esidi,,,,mpfula asidi,mpfula rimunywana,mpfula esidi,,,,
dsac_ns_4to6_00013,acrylic paint,,,akrielverf,,,pennde ya akhreḽiki,,,,pende-mati,,,,,,
dsac_ns_4to6_00014,acrylic resin,,,akrielhars,,,ṋonzhe ya akhreḽiki,,,,xivumba-pulasitiki,,,,,,
dsac_ns_4to6_00015,additive,,,bymiddel,,,tshiengedzwa,,,,xiengetelo,xinyunyetelo,,,,,
dsac_ns_4to6_00016,adhesive,,,kleefmiddel,,,tshinambatedzi,,,,xidamarheti,xinamarheti,xinamaketi,,,,
dsac_ns_4to6_00017,adventitious root,fibrous root,bushy root,bywortel,,,mudzivudzi,,,,rimitsu-navalala,,,,,,
