id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,Syonym__-,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,tso__001,tso__002,tso__003,tso__004
dsac_pharm_sec_00001,abdominal <adj.> {anatomy},,,abdominaal,abdominale,buik-,,,,-namazantsi esisu,,,,-phatselene nesisu,,,,-phathelene namathumbu,-phathelene nendeni,,-mpeng,,,,-mpa,,,,,-mpeng,-mpa,,thumbuni,,,,,,-byeke,,,
dsac_pharm_sec_00002,abdominal cavity,,,abdominale holte,buikholte,,,,,isiqulathimbilini,,,,sigcinitibilini,sicukatsitibilini,,,isimumathimathumbu,isimumathindeni,,legaba,kgagampa,,,lešobampa,,,,,mpa,phago ka mpeng,,thumbuthumbu,,,,,,baku ra byeke,,,
dsac_pharm_sec_00003,abrasion {medical},,,skaafplek,skaafwond,,,,,umkrwelo,,,,umhubuko,,,,umrhuzuko,umrhubuko,,lengapo,,,,kgobogo,,,,,mongwapo,ho kgumoha,ho phoshoha,mukhuvhulane,,,,,,ntshwumuko,,,
dsac_pharm_sec_00004,acetone,,,asetoon,dimetielketoon,,,,,iasethoni,,,,i-asethoni,,,,i-asethoni,,,asethoune,,,,asethoune,,,,,asethoune,,,asethouni,,,,,,asethoni,,,
dsac_pharm_sec_00005,acid indigestion,,,sooibrand,,,,,,isitshisa,isilungulela,,,silungulela,,,,ukuthonta kwe-esidi ngokweqileko,,,lesokolela,,,,seokelela,,,,,tshilo e sitiswang ke esiti,,,tshayatsukanyo ya dungi,tshayatsukanyo ya esidi,,,,,nkampfuvelo wa asidi,nkanghayelo wa asidi,,
dsac_pharm_sec_00006,acne {bacterial infection},,,aknee,,,,,,amaqhakava okufikisa,,,,emajiji,ematjitji,,,amathuthuva wokugula,amajiji wokugula,,dikemola,diso,dipeisi,,dithala,,,,,sehloba,,,vhupundupundu,,,,,,swidlanhlangana,swibundzwana,swirhumbana,
dsac_pharm_sec_00007,acquired deformity {condition contracted after birth},,,verworwe misvorming,,,,,,ubulima ongazalwanga nabo,,,,bunkhubela,,,,ubuqhwala,ukukhubazeka,,golafaditswe,,,,kgolofalo,,,,,kgolofalo eo eseng ya tswalo,,,vhuholefhali ho tou ḓaho,,,,,,vulamari,vugonoki {a ri amukeleki},,
dsac_pharm_sec_00008,acrylate {used in e.g. taste masking},,,akrilaat,,,,,,iakhrileyithi,,,,i-akhrayilathi,,,,i-akhrileyithi,,,akerileiti,,,,akhrileiti,,akhirileiti,,,akrileiti,,,akhrilethi,,,,,,akhirileti,,,
dsac_pharm_sec_00009,active pharmaceutical ingredient,API,,aktiewe farmaseutiese bestanddeel,aktiewe bestanddeel,,,,,undoqochiza kumxube,undoqoyeza kumxube,,,likhambingco,,,,isithako esiyisika,,,setswakimolemo,,,,motswakokgolo,,,,,setswaki sa moriana se sebetsang,,,thimbyana dza mushonga dzi no shuma,,,,,,xicincavutitwi emirini,,,
dsac_pharm_sec_00010,acupuncture,,,akupunktuur,,,,,,unyango ngeenalitana,iatyhuphanktsha,,,kwelapha ngemutsitinsungulo,i-akhuphansha,,,ukulumeka,i-akhyuphantjha,,tshwisobogatsu,akhuphantšha,,,go lomega,,,,,phodiso ka dinale,akhuphantjha,,akhuphantsha,,,,,,mphulo,,,
dsac_pharm_sec_00011,acute care,,,akute versorging,akute sorg,,,,,unyango losuleleko lwethutyana,,,,lunakekelokwelashwa loluphutfumako,lunakekelosimo lesiphutfumako,,,itjhejo lobujamo oburhabako,,,kalafotsenelelo,kalafopotlako,,,tlhokomelona,,,,,tlhokomelo e hlokolotsi,tlhokomelo ya nakwana,,ndondolo ya shishi,ndondolo ya tshifhinganyana,,,,,vuongori bya xinkadyana,vutshunguri bya xinkadyana,nhlayiso wa xinkadyana,
dsac_pharm_sec_00012,acute infection,,,akute infeksie,,,,,,usuleleko lwethutyana,,,,kuhabula,,,,ukugula okubhudungelanako,,,tshwaetsotsenelelo,,,,phetetšonakwanatwatši,,,,,tshwaetso ya tshohanyetso,,,u kavhiwa lwa tshifhinganyana,phirela ya tshifhinganyana,,,,,ntlulelovuvabyi wa xinkadyana,,,
dsac_pharm_sec_00013,adrenalin,adrenaline,,adrenalien,,,,,,indulumbane,iadrenalini,,,i-adrenalini,,,,i-adrenalini,,,mathakapilo,,,,aderenalini,,aterenalini,,,atrenalini,,,aḓirenaḽini,aḓrenaḽini,,,,,adirenalini,,,
dsac_pharm_sec_00014,adult dose,,,volwassenedosis,volwasse dosis,,,,,umlinganiselo wabadala,,,,silinganisomutsi salabadzala,umtsamomutsi walabadzala,,,isilinganiso sabakhulu,,,tekanyetsamolemo wa bagodi,,,,tekanyohlarebagolong,,,,,tekanyo ya ba baholo,,,phimamushonga wa vhahulwane,,,,,,mpimamurhi wa lavakulu,,,
dsac_pharm_sec_00015,adverse event {undesirable medical occurrence},AE,,nadelige voorval,,,,,,isiphumo sonyango esingalindelekanga,,,,simo lesingakalindzeleki,sehlakalo lesingakalindzeleki,,,ukwaliwa sihlahla,ukwaliwa mtjhoga,,phapogokalafi,,,,phapogokalafi,,,,,ditlamorao tse mpe tse sa lebellwang,,,tshiimo tshi songo lavhelelwaho,,,,,,xiendleko xo biha,,,
dsac_pharm_sec_00016,aerobic bacteria,,,aërobiese bakterieë,suurstofbehoewende bakterieë,,,,,iintsholongwane eziphila ngomongomoya,,,,ligciwane leliphila ngemoyamphilo,,,,umulwana ophila ngommoya,ibhakthiriya ephila ngeoksijini,,mogare wa erobiki,,,,paketheriyahlokaokisitšene,,,,,baktheria e phelang ka oksejene,,,tshitzhili tshi no tshila nga okisidzheni,tshitzhili tshi no tshila nga oksidzheni,tshitzhili tshi no tshila nga muyumufhe,,,,xitsongwatsongwanamadinga-moyatenga,,,
